USER_ID,USERNAME,PASSWORD,ACCOUNT_TYPE
1,sammy,5f0e9e20b2d1cd117b9aaff24160c5eeb88557fb ,REGISTERED
2,lovey,85d19d19a0cc390800d6c86e877f26e3bd6dc046 ,REGISTERED
3,nirajsingh,3e471d45d3da6d0c09e2d6b1881503627de0c86d ,REGISTERED
4,ghanta69,c87ef105ab2395281190f781ccb4721b45f4d0fb,NEW
5,cheapgujrati,c87ef105ab2395281190f781ccb4721b45f4d0fb,NEW
6,amanpaji,33a5eb96f332207c3ab7c406fb4f6577473384f8,REGISTERED
7,admin,d033e22ae348aeb5660fc2140aec35850c4da997,ADMIN
8,hacker,4dcc4173d80a2817206e196a38f0dbf7850188ff,SUSPENDED
9,spammer,6956c9f9b4d4dee0333165e3b07f85090238a47b,LAST
10,misbehave,93f15bd4c4b0c877c40fa8a8bf5bea263fb8441a,LAST
